record_id,pad_name,company,state,original_step,standardized_display,review_reason
cnx--wfn-2,WFN 2,Cnx,Pennsylvania,Pleasant Grove,Pleasant Grove,local name lacks a recognized road-type suffix
eclipse--brits-unit,BRITS UNIT,Eclipse,Ohio,MR-65,MR-65,local name lacks a recognized road-type suffix
eclipse--duane-weisend-unit,DUANE WEISEND UNIT,Eclipse,Ohio,Cr 54/bean Ridge Rd,Cr 54/Bean Ridge Rd,slash/alias road name needs source verification
eclipse--forni-north,FORNI NORTH,Eclipse,Ohio,TR-100 / Pryor Rd,TR-100 / Pryor Rd,slash/alias road name needs source verification
eclipse--purple-hayes-unit,PURPLE HAYES UNIT,Eclipse,Ohio,Sr 513 One Way,Sr 513 One Way,local name lacks a recognized road-type suffix
eclipse--rolland-unit,ROLLAND UNIT,Eclipse,Ohio,CR-10A / Griffith Rd,CR-10A / Griffith Rd,slash/alias road name needs source verification
eog--davis-farms,DAVIS FARMS,Eog,Ohio,Picador,Picador,local name lacks a recognized road-type suffix
eog--davis-farms,DAVIS FARMS,Eog,Ohio,Pillar,Pillar,local name lacks a recognized road-type suffix
eog--judy-brown,JUDY BROWN,Eog,Ohio,Gavers,Gavers,local name lacks a recognized road-type suffix
eog--judy-brown,JUDY BROWN,Eog,Ohio,Gavers,Gavers,local name lacks a recognized road-type suffix
eog--k-wallace,K WALLACE,Eog,Ohio,Pipeline,Pipeline,local name lacks a recognized road-type suffix
eog--r-kirk,R KIRK,Eog,Ohio,CR-58 / Timothy Ridge Rd,CR-58 / Timothy Ridge Rd,slash/alias road name needs source verification
eog--schmuck-farms,SCHMUCK FARMS,Eog,Ohio,Andora,Andora,local name lacks a recognized road-type suffix
eog--striped-bass,STRIPED BASS,Eog,Ohio,CR-450 / Old National Rd,CR-450 / Old National Rd,slash/alias road name needs source verification
eog--striped-bass,STRIPED BASS,Eog,Ohio,CR-53 / Larrick Ridge Rd,CR-53 / Larrick Ridge Rd,slash/alias road name needs source verification
eog--striped-bass,STRIPED BASS,Eog,Ohio,CR-450 / Old National Rd,CR-450 / Old National Rd,slash/alias road name needs source verification
eog--striped-bass,STRIPED BASS,Eog,Ohio,CR-53 / Larrick Ridge Rd,CR-53 / Larrick Ridge Rd,slash/alias road name needs source verification
eqt--del-scorcho,DEL SCORCHO,Eqt,Ohio,Gregg Rd/twp Rd,Gregg Rd/Twp Rd,slash/alias road name needs source verification
eqt--del-scorcho,DEL SCORCHO,Eqt,Ohio,Secrest Rd/twp Rd,Secrest Rd/Twp Rd,slash/alias road name needs source verification
eqt--del-scorcho,DEL SCORCHO,Eqt,Ohio,Ballard Hunter/hunter Bethesda Rd,Ballard Hunter/Hunter Bethesda Rd,slash/alias road name needs source verification
eqt--tuna-nut,TUNA NUT,Eqt,Ohio,Bethesda To 4 Way,Bethesda to 4 Way,local name lacks a recognized road-type suffix
eqt--three-musketeers,THREE MUSKETEERS,Eqt,Pennsylvania,E National Pike,E National Pike,local name lacks a recognized road-type suffix
expand--bernard-mcculley,BERNARD MCCULLEY,Expand,Pennsylvania,CR-41 / Dallas Pike,CR-41 / Dallas Pike,slash/alias road name needs source verification
expand--bernard-mcculley,BERNARD MCCULLEY,Expand,Pennsylvania,Turning Onto Dallas Pike,Turning Onto Dallas Pike,local name lacks a recognized road-type suffix
expand--marlin-funka,MARLIN FUNKA,Expand,Pennsylvania,CR-41 / Dallas Pike,CR-41 / Dallas Pike,slash/alias road name needs source verification
expand--marlin-funka,MARLIN FUNKA,Expand,Pennsylvania,Turning Onto Dallas Pike,Turning Onto Dallas Pike,local name lacks a recognized road-type suffix
expand--paul-schilinski,PAUL SCHILINSKI,Expand,Pennsylvania,US-40 / National Rd,US-40 / National Rd,slash/alias road name needs source verification
expand--susan-scofield,SUSAN SCOFIELD,Expand,Pennsylvania,CR-41 / Dallas Pike,CR-41 / Dallas Pike,slash/alias road name needs source verification
expand--susan-scofield,SUSAN SCOFIELD,Expand,Pennsylvania,Turning Onto Dallas Pike,Turning Onto Dallas Pike,local name lacks a recognized road-type suffix
expand--susan-scofield,SUSAN SCOFIELD,Expand,Pennsylvania,SR-3037 / Finley Rd,SR-3037 / Finley Rd,slash/alias road name needs source verification
expand--alice-edge,ALICE EDGE,Expand,West Virginia,US-40 / National Rd,US-40 / National Rd,slash/alias road name needs source verification
expand--ballato-brothers,BALLATO BROTHERS,Expand,West Virginia,ALT-27,ALT-27,local name lacks a recognized road-type suffix
expand--bethlehem-stage,BETHLEHEM STAGE,Expand,West Virginia,Staging Yard,Staging Yard,local name lacks a recognized road-type suffix
expand--brett-berrisford,BRETT BERRISFORD,Expand,West Virginia,US-40 / National Rd,US-40 / National Rd,slash/alias road name needs source verification
expand--chad-glauser,CHAD GLAUSER,Expand,West Virginia,US-40 / National Rd,US-40 / National Rd,slash/alias road name needs source verification
expand--charles-frye,CHARLES FRYE,Expand,West Virginia,CR-65 / Cabella Dr,CR-65 / Cabella Dr,slash/alias road name needs source verification
expand--charles-jamison,CHARLES JAMISON,Expand,West Virginia,New Bethel,New Bethel,local name lacks a recognized road-type suffix
expand--edward-dremak,EDWARD DREMAK,Expand,West Virginia,Bethany Pike,Bethany Pike,local name lacks a recognized road-type suffix
expand--edward-dremak,EDWARD DREMAK,Expand,West Virginia,WV-88 / N/oglebay Dr,WV-88 / N/Oglebay Dr,slash/alias road name needs source verification
